Company,Sub-processor,Service category / What they do
Ada,Pusher,Realtime Processing
Ada,Sendgrid,Email Service Provider
Ada,Sentry,Error Reporting
Ada,Sunshine Conversations by Zendesk (formerly Smooch Technologies),External Messaging Consolidation
Ada,Svix,Webhooks functionality and infrastructure
Ada,"Transcend, Inc.",Data Privacy Compliance
Ada,Twilio,"Two-Factor Authentication, Telephone calls, call recording, and SMS processing"
Reclaim,Amazon Web Services,Cloud Hosting
Reclaim,Google,Cloud Platform
Reclaim,Microsoft,Cloud Platform
Reclaim,Vercel,Web development
Reclaim,Cloudflare,CDN & cloud security
Reclaim,HashiCorp (Terraform),Infrastructure-as-Code
Reclaim,GitHub,Source Code Version Control
Reclaim,Sentry,Error tracking and logging
Reclaim,Grafana,Performance and infrastructure monitoring
Reclaim,Retool,Customer Support
Reclaim,Intercom,Customer support/engagement
Reclaim,Slack,Internal messaging / customer support
Reclaim,PartnerStack,Affiliates / Referrals
Reclaim,Stripe,Billing / Payment Processing
Reclaim,Osano,Privacy compliance & Cookie consent
Reclaim,HubSpot,CRM
Reclaim,ClickHouse / HyperDX,Performance monitoring and logging
Reclaim,DataDog,Performance monitoring and logging
Reclaim,OpenAI,"Service provider for AI-enabled features, large language models and embeddings; by opt-in only"
Otter,"Amazon Web Services, Inc.",Cloud service provider and customer data storage platform
Otter,Zendesk,Cloud-based customer support services. Personal data may be contained in the customer support tickets.
Otter,OneSignal,Customer engagement and push notifications.
Otter,Stripe,Cloud-based Payment Processing
Otter,Zuora,Subscription Management & Billing
Otter,Slack,Internal messaging platform for communications.
Otter,Anthropic,Provider for backend support of AI-enabled functionality. No Customer Data will be used to train or improve Anthropic’s artificial intelligence models. Anthropic does not store Customer Data sent through the API on their platform.
Otter,OpenAI,Provider for evaluating the effectiveness of our Large Language Models (LLM). The provider is used to provide input on whether product feature(s) may contain harmful information. No Customer Data will be used to train or improve OpenAI’s artificial intelligence models. OpenAI does not store Customer Data sent through the API on their platform.
Otter,Intercom,Support services. Intercom will only process customer data if it is shared between Customer and Otter.ai in the support tool.
Otter,Research Transcriptions,Provider for annotating training and evaluation data for our product features.
Otter,Workato,Provider for building automations and integrations.
Otter,Google Cloud Platform,Cloud service provider
Otter,Crusoe,Cloud service provider
Otter,PartnerHero,The subprocessor only has access to Customer Data in the course of customer-initiated support cases.
Otter,SendGrid,Email communications
Zapier,"Amazon Web Services, Inc. (AWS)",Cloud service provider
Zapier,CloudAMQP,Processing event-based workflows used by Zapier services
Zapier,Databricks,Data intelligence platform
Zapier,DataDog,"Application performance monitoring, infrastructure and network monitoring, and error capturing"
Zapier,Google Cloud,Cloud service provider
Zapier,Heroku,Deployment and management of Zapier services
Zapier,Redis,Data storage and caching
Zapier,Ada,Customer service platform used for technical support chat management
Zapier,Algolia,"Search functionality for Zapier content, including templates, blog posts, and apps"
Zapier,FullStory,Analytics to improve Zapier services
Zapier,Infinity Support Group,Technical support ticket management for customers
Zapier,Looker,Business intelligence software used to analyze Zapier services usage
Zapier,Pinecone,Vector database to facilitate vector search features
Zapier,Sentry,Debugging and support tool used for error reporting
Zapier,Vitally,"Customer success health scoring, and user engagement/usage tool"
Zapier,Zendesk,Customer service platform used for technical support ticket management
Zapier,"Amazon Web Services, Inc. (AWS)",Artificial intelligence provider
Zapier,Anthropic,Artificial intelligence provider
Zapier,Google Cloud,Artificial intelligence provider
Zapier,Microsoft Azure AI,Artificial intelligence provider
Zapier,OpenAI,Artificial intelligence provider
Zapier,BrightData,Web search capabilities per customer queries
Zapier,Firecrawl,Knowledge source gathering capabilities within Chatbots and Agents (Central)
Zapier,Google Translate,Language translations of customer queries
Zapier,Liveblocks,Collaboration capabilities within Canvas
Zapier,Mailgun,Email sending capabilities per customer queries
Zapier,Stytch,End-user authentication capabilities within Interfaces
Zapier,Twilio,SMS sending capabilities per customer queries
Zapier,Uploadcare,File uploading capabilities within Interfaces
Zapier,WhatsApp,WhatsApp chat sending capabilities per customer queries
Zapier,Zapier Australia Pty Ltd.,Zapier services and support
Zapier,Zapier Automation Inc.,Zapier services and support
Zapier,Zapier Automation Ireland Ltd.,Zapier services and support
Zapier,Zapier UK Ltd.,Zapier services and support
GitHub,Amazon Web Services Inc (AWS),"Cloud Hosted Infrastructure, Data Hosting, AI Inference and AI Services"
GitHub,Anthropic PBC,AI Inference and AI Services
GitHub,Cloudflare,Content delivery service
GitHub,Fastly,Content delivery service
GitHub,Google Cloud Platform (GCP),"Cloud Hosted Infrastructure, AI Inference and AI Services"
GitHub,Microsoft (Azure),"Cloud Hosted Infrastructure, Data Hosting, AI Inference and AI Services"
GitHub,Microsoft (Azure),Cognitive Services and customer support ticketing analysis
GitHub,Microsoft,Technical Services
GitHub,Moveworks,Customer support ticketing analysis
GitHub,NexMo Inc (aka Vonage),SMS notification provider for 2 Factor Authentication
GitHub,Obsidian Security,Security management
GitHub,OpenAI,AI Inference and AI Services
GitHub,Pusher,Building and managing real-time infrastructure for web and mobile applications
GitHub,Twilio     (SendGrid),SMS notification provider for 2 Factor Authentication
GitHub,VividCortex,"Monitor database performance, efficiency, and uptime"
GitHub,Zendesk,Customer support ticketing system
GitHub,GitHub Australia Pty Ltd,GitHub Subsidiary
GitHub,GitHub BV,GitHub Subsidiary
GitHub,GitHub Canada ULC,GitHub Subsidiary
GitHub,GitHub Germany GmbH,GitHub Subsidiary
GitHub,GitHub India Pty Ltd,GitHub Subsidiary
GitHub,npm Inc,GitHub Subsidiary
GitHub,Semmle Inc,GitHub Subsidiary
Tray,"Amazon Web Services, Inc.",Infrastructure provider
Tray,"Datadog, Inc.",Internal system and error logs
Tray,Plan.nr Ltd,"A wholly owned UK subsidiary of Tray.ai, Inc. - Tray has engineering and support staff based in the UK and may therefore need to access data of our customers for support and maintenance purposes"
Tray,"Twilio, Inc.","Twilio Sendgrid processes emails used by customers in the v3 and below Send Email connector in workflows. Previously named Sendgrid, Inc. This has been superseded in the v4 and above Send Email connector which uses AWS SES"
Tray,"Amazon Web Services, Inc.",Infrastructure provider
Tray,"Datadog, Inc.",Internal system and error logs
Tray,Plan.nr Ltd,"A wholly owned UK subsidiary of Tray.ai, Inc. - Tray has engineering and support staff based in the UK and may therefore need to access data of our customers for support and maintenance purposes"
Tray,"OpenAI, Inc.",Customers must opt-in to this sub-processor where details of OpenAI’s processing will be described. OpenAI will not be allowed to use customer data for its own training purposes. More info on AI processing here.
Tray,"Amazon Web Services, Inc.",Infrastructure provider
Tray,"Datadog, Inc.",Internal system and error logs
Tray,Plan.nr Ltd,"A wholly owned UK subsidiary of Tray.ai, Inc. - Tray has engineering and support staff based in the UK and may therefore need to access data of our customers for support and maintenance purposes"
Tray,"Atlassian, Inc. & Atlassian Pty Ltd.",Project management - Jira is used for bug tracking. Data from customer workflows may be processed whilst workflows are debugged with or on behalf of the customer
Tray,Google LLC,Company communication
Tray,"Intercom, Inc.",Customer support - Only used if customers submit data via Intercom live chat
Tray,"Slack Technologies, LLC",Company communication
Tray,"Zendesk, Inc.",Customer support - Data from customer workflows may be processed whilst workflows are debugged with or on behalf of the customer
Weaviate,Amazon Web Services,Infrastructure and hosting provider
Weaviate,Microsoft Azure,Infrastructure and hosting provider
Weaviate,Google Cloud Platform,Infrastructure and hosting provider
Weaviate,Grafana Cloud,Observability and system monitoring
Weaviate,Github,Code repository and CI/CD
Weaviate,MongoDB,Data storage for billing and provisioning
Weaviate,Temporal Cloud,Workload orchestration
Weaviate,Google Workspace,Productivity and communications services
Weaviate,Twilio,"Email communications, alerts and marketing"
Weaviate,Hubspot,CRM for marketing
Weaviate,Pylon,Customer support ticketing system
Weaviate,Slack,Internal communications tool
Weaviate,Stripe,Payment services provider
Weaviate,Sphere,Billing and tax automation
Weaviate,Modal,GPU-as-a-Service provider
Weaviate,Open AI,AI feature connectivity
Sentry,"Amazon Web Services, Inc.410 Terry Avenue NorthSeattle, WA 98109United States",Cloud infrastructure services
Sentry,"Anthropic, PBC548 Market StSan Francisco, CA 94104United States",AI/ML services
Sentry,"Cloudflare, Inc.101 Townsend StSan Francisco, CA 94107United States",Cloud infrastructure services
Sentry,"Google LLC (Google Cloud Platform)1600 Amphitheatre ParkwayMountain View, CA 94043United States",Cloud infrastructure services
Sentry,"OpenAI, L.L.C.3180 18th St.San Francisco, CA 94110United States",AI/ML services
Sentry,"Sinch Email (Mailgun)112 E Pecan St, #1135San Antonio, TX 78205United States",Email delivery services
Sentry,"Twilio Inc. (SendGrid)101 Spear Street, First FloorSan Francisco, CA 94105United States",Email delivery services
Sentry,Functional Software GmbHRothschildplatz 3Top 3.02.AB 1020 ViennaAustria,Provides parts of the Service and related technical support
Sentry,"Sentry Software Canada Inc.129 Spadina Ave, 7th FloorToronto, ON M5V 2L3Canada",Provides parts of the Service and related technical support
Sentry,"Sentry Software Netherlands B.V.Schiphol Boulevard 359WTC Schiphol Airport, D-Tower11th floor1118BJ SchipholNetherlands",Provides parts of the Service and related technical support
Abnormal,"Amazon Web Services, Inc.",Hosting services for the Abnormal Service
Abnormal,Microsoft Azure,Hosting Abnormal's Databricks PaaS provider
Abnormal,Microsoft Azure**,Hosting for the Abnormal Service
Abnormal,"Databricks, Inc.",Analytics Infrastructure Provider
Abnormal,Microsoft Azure OpenAI,AI Data Analyst
Abnormal,SendGrid,Email functionality for the Abuse Mailbox Service
Abnormal,Microsoft Azure OpenAI,"AI Security Mailbox, AI Phishing Coach, Account Take Over Service Case Summaries"
Abnormal,"Amazon Web Services, Inc.",Data hosting services for the Account Takeover and Security Posture Management Service
Abnormal,Atlassian,Troubleshoot Ticketing System and Bug Fixes
Abnormal,Gainsight,Customer Success and Product Experience
Abnormal,"Salesforce, Inc.",Customer Relationship Management Tool and Customer Support
Abnormal,Abnormal AI Australia Pty Ltd.,
Abnormal,Abnormal AI Canada LTD.,
Abnormal,Abnormal AI SGP PTY.LTD,To provide customer support to deliver the Service to Customers.
Abnormal,Abnormal AI UK Ltd.,
Abnormal,Abnormal AI India Private Ltd.,
Crescendo,Deepgram Inc.,Automatic speech recognition: call recordings
Crescendo,Elasticsearch BV,Cloud hosting services
Crescendo,Google LLC,Google Cloud Platform: cloud hosting services
Crescendo,Google LLC,"Google PaLM 2: AI service provider, transcripts"
Crescendo,Google LLC,"Google Workspace: file storage, content collaboration, communications"
Crescendo,Groq Inc.,"Real time conversations, transcripts, and CX insights"
Crescendo,"Guru Technologies, Inc.",AI-powered knowledge platform
Crescendo,Microsoft Corporation Inc.,"Azure: text-to-speech, real time conversations"
Crescendo,OpenAI LLC,"AI service provider: real time conversations, transcriptions, CX insights"
Crescendo,Salesforce Inc. (Slack),Internal communication tool
Crescendo,Redis Inc.,Cache: transcripts
Crescendo,Twilio Inc.,Telephony: voicebot and inbound telephony
Crescendo,Twilio Inc. (Sendgrid),"Outbound emails, transcripts"
Crescendo,Venn US Inc.,Secure BYO-PC technology
Crescendo,Zendesk Inc.,Cloud-based customer service platform: communications content such as cloud recordings or in-meeting chat transcripts
Super,"Amazon Web Services, Inc.",Infrastructure
Super,"Amazon Web Services, Inc.",Infrastructure
Super,Calendly Inc.,Scheduling
Super,Chilipiper,Scheduling
Super,Docusign Inc.,Contract Management
Super,"Functional Software, Inc. dba Sentry",Infrastructure
Super,Google Inc.,Infrastructure
Super,Google Inc.,Infrastructure
Super,Hotjar Limited Ltd.,Website Analytics
Super,Hubdoc Inc.,Invoice Document Management
Super,Hubspot Inc.,Sales
Super,Intercom Inc.,Customer Messaging
Super,Linear,Ticketing Software
Super,Microsoft,Office Productivity Software
Super,"Microsoft, Azure",Infrastructure
Super,"Microsoft, Azure",Infrastructure
Super,"Microsoft, Azure",Infrastructure
Super,"Microsoft, Azure",Infrastructure
Super,"Microsoft, Azure",Infrastructure
Super,"Microsoft, Azure",Infrastructure
Super,Segment.io Inc.,Data Analysis
Super,Slack Inc.,Communication
Super,Stripe Inc.,Payments
Super,Zapier Inc.,Automation
Super,"Zendesk, Inc.",Customer Support
Super,Zoom Inc.,Visual meeting/phone platform
Writer,Amazon Web Services,Cloud Service Provider
Writer,Baseten,Infrastructure
Writer,Elastic Cloud,Infrastructure
Writer,Google Cloud Platform,Cloud Service Provider
Writer,Help Scout,Customer Support
Writer,Segment,Analytics
Writer,Sendgrid,Email Communications
Writer,Stripe,Billing
Writer,Tavily,Web Search
Writer,"Writer, Inc. affiliates",Services and support
Spinach,AWS,Host platform and customer databases
Spinach,Google,Customer communication and meeting calendars
Spinach,Recall,Customer call processing
Spinach,MongoDB,Customer databases
Spinach,LaunchDarkly,Facilitate feature toggle by customer
Spinach,OpenAI,Process customer data with AI
Spinach,Sentry,Monitor production data
Spinach,Customer.io,Facilitate customer email interactions
Spinach,Intercom,Facilitate customer support function
Spinach,Mixpanel,Analyze system and customer metrics
Spinach,Github,Repository for code
Spinach,Slack,Facilitate internal and external customer interactions
Spinach,Twilio,Manage 2FA for customer login
Spinach,Notion,Knowledge repository for internal documentation
Spinach,Sendgrid,Facilitate customer email interactions
Spinach,FullStory,Monitor and resolve issues with webapp
Spinach,Microsoft Azure,Process customer data with AI
Spinach,Stripe,Payment processor
Spinach,Deepgram,Transcription Service
Spinach,AssemblyAI,Transcription Service
Spinach,Linear,Manage workflow and bug tracking
Spinach,ElevenLabs,Voice AI services
MongoDB,"Amazon Web Services, Inc.",Cloud Provider
MongoDB,Google LLC,Cloud Provider
MongoDB,Microsoft Corp,Cloud Provider
MongoDB,"Okta, Inc.",Authentication Services
MongoDB,"Twilio, Inc.",2FA and SMS Alerts
MongoDB,"Salesforce.com, Inc.",Support Portal
MongoDB,Intercom R&D Unlimited Co.,Chat Support
MongoDB,"Talkdesk, Inc.",Voice Support
MongoDB,Google Inc.,Email Support
MongoDB,"Box, Inc.",File Sharing for Remote Consulting Services
MongoDB,Coveo Software Corp.,Support Search Functionality
MongoDB,"Fastly, Inc.",Content Delivery Network for Support
MongoDB,Stripe Inc.,Payment Processor
Auditoria,"Alphabet, Inc.",Cloud Infrastructure
Auditoria,"Amazon Web Services, Inc.",Cloud Infrastructure
Auditoria,"BaseTen Labs, Inc.",Cloud Infrastructure
Auditoria,Catamorphic Co.,Feature flag management
Auditoria,"Cloudflare, Inc.",Content Delivery Network and DDoS Prevention
Auditoria,Elastic NV,Data warehouse services
Auditoria,"Microsoft, Inc.",Cloud Infrastructure
Auditoria,"MongoDB, Inc.",Data Warehouse Services
Auditoria,"Okta, Inc.",Identity and access management services
Auditoria,"OpenAI, LLC",ML/AI models
Auditoria,"Plaid, Inc.",Financial services and account verification
Auditoria,Snowflake,Data warehouse services
Auditoria,"Stripe, Inc.",Payment processing and financial services
Auditoria,Twilio,Messaging infrastructure services
Tango,Airbyte,Data Consolidation Platform
Tango,Amazon Web Services,Cloud Service Provider
Tango,Cello,Referral Tracking and Payout
Tango,Clearbit,Sales Intelligence Software
Tango,Cloudflare,DNS and DoS Protection
Tango,Coda,Internal Knowledge Base
Tango,Datadog,Infrastructure Monitoring
Tango,dbt Cloud,Business Analytics
Tango,Frontegg,Enterprise Authentication and Authorization Platform
Tango,"Functional Software, Inc. (Sentry)",Error Logging
Tango,Google,Artificial Intelligence
Tango,Google Analytics,Product Analytics
Tango,HighTouch,Data Syncing Platform
Tango,HubSpot,Email Marketing
Tango,Imgix,Image Platform
Tango,Integromat,Workflow Automation
Tango,Intercom,Customer Management and Support
Tango,Liveblocks,Collaboration Features
Tango,Microsoft Azure,Artificial Intelligence
Tango,Mixpanel,Product Analytics Software
Tango,Onramp,Customer Onboarding Software
Tango,OpenAI,Artificial Intelligence
Tango,PostHog,Feature Flags and Customer Troubleshooting
Tango,Propel,Data Platform
Tango,Retool,Internal Admin Tools
Tango,Segment,Data Platform
Tango,SendGrid,Email Service Provider
Tango,"Shiny Planes, Inc. (DBA LaunchNotes)",Product Release Updates
Tango,Slack,Internal Communication
Tango,Snowflake,Data Warehouse
Tango,Sprig (formerly UserLeap),Customer Surveys
Tango,Stripe,Payment Platform
Tango,Tableau,Business Intelligence
Tango,UserSnap,Customer Messaging Platform
Tango,Zapier,Workflow Automation
Perplexity,Anthropic,"Artificial intelligence research and deployment, including AI models like Claude"
Perplexity,Google,"Artificial intelligence research and deployment, including AI models like Gemini"
Perplexity,Amazon Bedrock,Artificial intelligence research and deployment.
Perplexity,xAI,"Artificial intelligence research and deployment, including AI models like Grok"
Perplexity,Microsoft Azure,"Cloud computing services including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS) offerings."
Perplexity,Loops.so,Email marketing and transactional email services.
Datarobot,"Amazon Web Services, Inc.",Cloud service provider for multi-tenant SaaS offering (MTS)
Datarobot,"Amazon Web Services, Inc.",Cloud service provider for single-tenant SaaS offering (STS) (if chosen by Customer)
Datarobot,Google LLC,Cloud service provider for single-tenant SaaS offering (STS) (if chosen by Customer)
Datarobot,Microsoft Corporation,Cloud service provider for single-tenant SaaS offering (STS) (if chosen by Customer)
Datarobot,"Salesforce, Inc.",Customer support
Datarobot,"SupportLogic, Inc.",Customer support
Datarobot,"Box, Inc.",Document sharing services
Datarobot,Google LLC,Document sharing services
